"STATE.UT","CRIME.HEAD","number","year"
"Uttarakhand","KIDNAPPING & ABDUCTION",126,"2001"
"West Bengal","KIDNAPPING & ABDUCTION",695,"2001"
"A&N Islands","KIDNAPPING & ABDUCTION",2,"2001"
"Chandigarh","KIDNAPPING & ABDUCTION",50,"2001"
"D&N Haveli","KIDNAPPING & ABDUCTION",2,"2001"
"Daman & Diu","KIDNAPPING & ABDUCTION",3,"2001"
"Delhi UT","KIDNAPPING & ABDUCTION",964,"2001"
"Lakshadweep","KIDNAPPING & ABDUCTION",0,"2001"
"Puducherry","KIDNAPPING & ABDUCTION",3,"2001"
"ALL INDIA K&A","KIDNAPPING & ABDUCTION",14645,"2001"
"Andhra Pradesh","DOWRY DEATH",420,"2001"
"Arunachal Pradesh","DOWRY DEATH",0,"2001"
"Assam","DOWRY DEATH",59,"2001"
"Bihar","DOWRY DEATH",859,"2001"
"Chhattisgarh","DOWRY DEATH",70,"2001"
"Goa","DOWRY DEATH",2,"2001"
"Gujarat","DOWRY DEATH",67,"2001"
"Haryana","DOWRY DEATH",285,"2001"
"Himachal Pradesh","DOWRY DEATH",10,"2001"
"Jammu & Kashmir","DOWRY DEATH",13,"2001"
"Jharkhand","DOWRY DEATH",217,"2001"
"Karnataka","DOWRY DEATH",220,"2001"
"Kerala","DOWRY DEATH",27,"2001"
"Madhya Pradesh","DOWRY DEATH",609,"2001"
"Maharashtra","DOWRY DEATH",308,"2001"
"Manipur","DOWRY DEATH",0,"2001"
"Meghalaya","DOWRY DEATH",0,"2001"
"Mizoram","DOWRY DEATH",0,"2001"
"Nagaland","DOWRY DEATH",0,"2001"
"Odisha","DOWRY DEATH",294,"2001"
"Punjab","DOWRY DEATH",159,"2001"
"Rajasthan","DOWRY DEATH",376,"2001"
"Sikkim","DOWRY DEATH",0,"2001"
"Tamil Nadu","DOWRY DEATH",191,"2001"
"Tripura","DOWRY DEATH",16,"2001"
"Uttar Pradesh","DOWRY DEATH",2211,"2001"
"Uttarakhand","DOWRY DEATH",56,"2001"
"West Bengal","DOWRY DEATH",265,"2001"
"A&N Islands","DOWRY DEATH",0,"2001"
"Chandigarh","DOWRY DEATH",3,"2001"
"D&N Haveli","DOWRY DEATH",0,"2001"
"Daman & Diu","DOWRY DEATH",0,"2001"
"Delhi UT","DOWRY DEATH",113,"2001"
"Lakshadweep","DOWRY DEATH",0,"2001"
"Puducherry","DOWRY DEATH",1,"2001"
"ALL INDIA ","DOWRY DEATH",6851,"2001"
"Andhra Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",3544,"2001"
"Arunachal Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",78,"2001"
"Assam","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",850,"2001"
"Bihar","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",562,"2001"
"Chhattisgarh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1763,"2001"
"Goa","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",17,"2001"
"Gujarat","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",756,"2001"
"Haryana","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",478,"2001"
"Himachal Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",310,"2001"
"Jammu & Kashmir","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",622,"2001"
"Jharkhand","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",297,"2001"
"Karnataka","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1665,"2001"
"Kerala","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1942,"2001"
"Madhya Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",7063,"2001"
"Maharashtra","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2823,"2001"
"Manipur","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",21,"2001"
"Meghalaya","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",25,"2001"
"Mizoram","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",52,"2001"
"Nagaland","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",6,"2001"
"Odisha","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1655,"2001"
"Punjab","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",372,"2001"
"Rajasthan","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2878,"2001"
"Sikkim","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,"2001"
"Tamil Nadu","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1773,"2001"
"Tripura","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",58,"2001"
"Uttar Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2870,"2001"
"Uttarakhand","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",103,"2001"
"West Bengal","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",954,"2001"
"A&N Islands","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",19,"2001"
"Chandigarh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",24,"2001"
"D&N Haveli","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",7,"2001"
"Daman & Diu","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,"2001"
"Delhi UT","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",502,"2001"
"Lakshadweep","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,"2001"
"Puducherry","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",35,"2001"
"All India","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",34124,"2001"
"Andhra Pradesh","INSULT TO THE MODESTY OF WOMEN",2271,"2001"
"Arunachal Pradesh","INSULT TO THE MODESTY OF WOMEN",3,"2001"
"Assam","INSULT TO THE MODESTY OF WOMEN",4,"2001"
"Bihar","INSULT TO THE MODESTY OF WOMEN",21,"2001"
"Chhattisgarh","INSULT TO THE MODESTY OF WOMEN",161,"2001"
"Goa","INSULT TO THE MODESTY OF WOMEN",7,"2001"
"Gujarat","INSULT TO THE MODESTY OF WOMEN",111,"2001"
"Haryana","INSULT TO THE MODESTY OF WOMEN",401,"2001"
"Himachal Pradesh","INSULT TO THE MODESTY OF WOMEN",14,"2001"
"Jammu & Kashmir","INSULT TO THE MODESTY OF WOMEN",288,"2001"
"Jharkhand","INSULT TO THE MODESTY OF WOMEN",5,"2001"
"Karnataka","INSULT TO THE MODESTY OF WOMEN",81,"2001"
"Kerala","INSULT TO THE MODESTY OF WOMEN",81,"2001"
"Madhya Pradesh","INSULT TO THE MODESTY OF WOMEN",751,"2001"
"Maharashtra","INSULT TO THE MODESTY OF WOMEN",1120,"2001"
"Manipur","INSULT TO THE MODESTY OF WOMEN",0,"2001"
"Meghalaya","INSULT TO THE MODESTY OF WOMEN",0,"2001"
"Mizoram","INSULT TO THE MODESTY OF WOMEN",0,"2001"
"Nagaland","INSULT TO THE MODESTY OF WOMEN",0,"2001"
"Odisha","INSULT TO THE MODESTY OF WOMEN",458,"2001"
"Punjab","INSULT TO THE MODESTY OF WOMEN",47,"2001"
"Rajasthan","INSULT TO THE MODESTY OF WOMEN",56,"2001"
"Sikkim","INSULT TO THE MODESTY OF WOMEN",14,"2001"
"Tamil Nadu","INSULT TO THE MODESTY OF WOMEN",1012,"2001"
"Tripura","INSULT TO THE MODESTY OF WOMEN",0,"2001"
"Uttar Pradesh","INSULT TO THE MODESTY OF WOMEN",2575,"2001"
"Uttarakhand","INSULT TO THE MODESTY OF WOMEN",84,"2001"
"West Bengal","INSULT TO THE MODESTY OF WOMEN",48,"2001"
"A&N Islands","INSULT TO THE MODESTY OF WOMEN",1,"2001"
"Chandigarh","INSULT TO THE MODESTY OF WOMEN",15,"2001"
"D&N Haveli","INSULT TO THE MODESTY OF WOMEN",0,"2001"
"Daman & Diu","INSULT TO THE MODESTY OF WOMEN",0,"2001"
"Delhi UT","INSULT TO THE MODESTY OF WOMEN",90,"2001"
"Lakshadweep","INSULT TO THE MODESTY OF WOMEN",0,"2001"
"Puducherry","INSULT TO THE MODESTY OF WOMEN",27,"2001"
"All India","INSULT TO THE MODESTY OF WOMEN",9746,"2001"
"Andhra Pradesh","CRUELTY BY HUSBAND OR RELATIVES",5791,"2001"
"Arunachal Pradesh","CRUELTY BY HUSBAND OR RELATIVES",11,"2001"
"Assam","CRUELTY BY HUSBAND OR RELATIVES",1248,"2001"
"Bihar","CRUELTY BY HUSBAND OR RELATIVES",1558,"2001"
"Chhattisgarh","CRUELTY BY HUSBAND OR RELATIVES",840,"2001"
"Goa","CRUELTY BY HUSBAND OR RELATIVES",11,"2001"
"Gujarat","CRUELTY BY HUSBAND OR RELATIVES",3667,"2001"
"Haryana","CRUELTY BY HUSBAND OR RELATIVES",1513,"2001"
"Himachal Pradesh","CRUELTY BY HUSBAND OR RELATIVES",317,"2001"
"Jammu & Kashmir","CRUELTY BY HUSBAND OR RELATIVES",50,"2001"
"Jharkhand","CRUELTY BY HUSBAND OR RELATIVES",484,"2001"
"Karnataka","CRUELTY BY HUSBAND OR RELATIVES",1755,"2001"
"Kerala","CRUELTY BY HUSBAND OR RELATIVES",2561,"2001"
"Madhya Pradesh","CRUELTY BY HUSBAND OR RELATIVES",2562,"2001"
"Maharashtra","CRUELTY BY HUSBAND OR RELATIVES",6090,"2001"
"Manipur","CRUELTY BY HUSBAND OR RELATIVES",5,"2001"
"Meghalaya","CRUELTY BY HUSBAND OR RELATIVES",4,"2001"
"Mizoram","CRUELTY BY HUSBAND OR RELATIVES",16,"2001"
"Nagaland","CRUELTY BY HUSBAND OR RELATIVES",0,"2001"
"Odisha","CRUELTY BY HUSBAND OR RELATIVES",1266,"2001"
"Punjab","CRUELTY BY HUSBAND OR RELATIVES",1128,"2001"
"Rajasthan","CRUELTY BY HUSBAND OR RELATIVES",5532,"2001"
"Sikkim","CRUELTY BY HUSBAND OR RELATIVES",0,"2001"
"Tamil Nadu","CRUELTY BY HUSBAND OR RELATIVES",815,"2001"
"Tripura","CRUELTY BY HUSBAND OR RELATIVES",227,"2001"
"Uttar Pradesh","CRUELTY BY HUSBAND OR RELATIVES",7365,"2001"
"Uttarakhand","CRUELTY BY HUSBAND OR RELATIVES",301,"2001"
"West Bengal","CRUELTY BY HUSBAND OR RELATIVES",3859,"2001"
"A&N Islands","CRUELTY BY HUSBAND OR RELATIVES",9,"2001"
"Chandigarh","CRUELTY BY HUSBAND OR RELATIVES",36,"2001"
"D&N Haveli","CRUELTY BY HUSBAND OR RELATIVES",4,"2001"
"Daman & Diu","CRUELTY BY HUSBAND OR RELATIVES",4,"2001"
"Delhi UT","CRUELTY BY HUSBAND OR RELATIVES",138,"2001"
"Lakshadweep","CRUELTY BY HUSBAND OR RELATIVES",0,"2001"
"Puducherry","CRUELTY BY HUSBAND OR RELATIVES",3,"2001"
"All India","CRUELTY BY HUSBAND OR RELATIVES",49170,"2001"
"Andhra Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",1332,"2001"
"Arunachal Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2001"
"Assam","IMMORAL TRAFFIC(PREVENTION)ACT",6,"2001"
"Bihar","IMMORAL TRAFFIC(PREVENTION)ACT",29,"2001"
"Chhattisgarh","IMMORAL TRAFFIC(PREVENTION)ACT",12,"2001"
"Goa","IMMORAL TRAFFIC(PREVENTION)ACT",28,"2001"
"Gujarat","IMMORAL TRAFFIC(PREVENTION)ACT",61,"2001"
"Haryana","IMMORAL TRAFFIC(PREVENTION)ACT",21,"2001"
"Himachal Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",1,"2001"
"Jammu & Kashmir","IMMORAL TRAFFIC(PREVENTION)ACT",7,"2001"
"Jharkhand","IMMORAL TRAFFIC(PREVENTION)ACT",3,"2001"
"Karnataka","IMMORAL TRAFFIC(PREVENTION)ACT",1356,"2001"
"Kerala","IMMORAL TRAFFIC(PREVENTION)ACT",132,"2001"
"Madhya Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",15,"2001"
"Maharashtra","IMMORAL TRAFFIC(PREVENTION)ACT",233,"2001"
"Manipur","IMMORAL TRAFFIC(PREVENTION)ACT",4,"2001"
"Meghalaya","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2001"
"Mizoram","IMMORAL TRAFFIC(PREVENTION)ACT",2,"2001"
"Nagaland","IMMORAL TRAFFIC(PREVENTION)ACT",1,"2001"
"Odisha","IMMORAL TRAFFIC(PREVENTION)ACT",24,"2001"
"Punjab","IMMORAL TRAFFIC(PREVENTION)ACT",32,"2001"
"Rajasthan","IMMORAL TRAFFIC(PREVENTION)ACT",68,"2001"
"Sikkim","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2001"
"Tamil Nadu","IMMORAL TRAFFIC(PREVENTION)ACT",5232,"2001"
"Tripura","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2001"
"Uttar Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",26,"2001"
"Uttarakhand","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2001"
"West Bengal","IMMORAL TRAFFIC(PREVENTION)ACT",31,"2001"
"A&N Islands","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2001"
"Chandigarh","IMMORAL TRAFFIC(PREVENTION)ACT",3,"2001"
"D&N Haveli","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2001"
"Daman & Diu","IMMORAL TRAFFIC(PREVENTION)ACT",3,"2001"
"Delhi UT","IMMORAL TRAFFIC(PREVENTION)ACT",95,"2001"
"Lakshadweep","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2001"
"Puducherry","IMMORAL TRAFFIC(PREVENTION)ACT",39,"2001"
"All India","IMMORAL TRAFFIC(PREVENTION)ACT",8796,"2001"
"Andhra Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",925,"2001"
"Arunachal Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Assam","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",10,"2001"
"Bihar","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",3,"2001"
"Chhattisgarh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Goa","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Gujarat","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Haryana","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Himachal Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Jammu & Kashmir","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Jharkhand","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Karnataka","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Kerala","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",42,"2001"
"Madhya Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Maharashtra","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",9,"2001"
"Manipur","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Meghalaya","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Mizoram","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Nagaland","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Odisha","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Punjab","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1,"2001"
"Rajasthan","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",46,"2001"
"Sikkim","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Tamil Nadu","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",11,"2001"
"Tripura","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Uttar Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",3,"2001"
"Uttarakhand","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"West Bengal","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"A&N Islands","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Chandigarh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1,"2001"
"D&N Haveli","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Daman & Diu","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Delhi UT","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1,"2001"
"Lakshadweep","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"Puducherry","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2001"
"All India","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1052,"2001"
"Andhra Pradesh","TOTAL CRIMES AGAINST WOMEN",16477,"2001"
"Arunachal Pradesh","TOTAL CRIMES AGAINST WOMEN",180,"2001"
"Assam","TOTAL CRIMES AGAINST WOMEN",4243,"2001"
"Bihar","TOTAL CRIMES AGAINST WOMEN",5356,"2001"
"Chhattisgarh","TOTAL CRIMES AGAINST WOMEN",3989,"2001"
"Goa","TOTAL CRIMES AGAINST WOMEN",83,"2001"
"Gujarat","TOTAL CRIMES AGAINST WOMEN",5805,"2001"
"Haryana","TOTAL CRIMES AGAINST WOMEN",3393,"2001"
"Himachal Pradesh","TOTAL CRIMES AGAINST WOMEN",890,"2001"
"Jammu & Kashmir","TOTAL CRIMES AGAINST WOMEN",1656,"2001"
"Jharkhand","TOTAL CRIMES AGAINST WOMEN",2229,"2001"
"Karnataka","TOTAL CRIMES AGAINST WOMEN",6002,"2001"
"Kerala","TOTAL CRIMES AGAINST WOMEN",5450,"2001"
"Madhya Pradesh","TOTAL CRIMES AGAINST WOMEN",14549,"2001"
"Maharashtra","TOTAL CRIMES AGAINST WOMEN",12524,"2001"
"Manipur","TOTAL CRIMES AGAINST WOMEN",112,"2001"
"Meghalaya","TOTAL CRIMES AGAINST WOMEN",66,"2001"
"Mizoram","TOTAL CRIMES AGAINST WOMEN",126,"2001"
"Nagaland","TOTAL CRIMES AGAINST WOMEN",30,"2001"
"Odisha","TOTAL CRIMES AGAINST WOMEN",5357,"2001"
"Punjab","TOTAL CRIMES AGAINST WOMEN",2361,"2001"
"Rajasthan","TOTAL CRIMES AGAINST WOMEN",12175,"2001"
"Sikkim","TOTAL CRIMES AGAINST WOMEN",24,"2001"
"Tamil Nadu","TOTAL CRIMES AGAINST WOMEN",10111,"2001"
"Tripura","TOTAL CRIMES AGAINST WOMEN",438,"2001"
"Uttar Pradesh","TOTAL CRIMES AGAINST WOMEN",20227,"2001"
"Uttarakhand","TOTAL CRIMES AGAINST WOMEN",749,"2001"
"West Bengal","TOTAL CRIMES AGAINST WOMEN",6570,"2001"
"A&N Islands","TOTAL CRIMES AGAINST WOMEN",34,"2001"
"Chandigarh","TOTAL CRIMES AGAINST WOMEN",150,"2001"
"D&N Haveli","TOTAL CRIMES AGAINST WOMEN",19,"2001"
"Daman & Diu","TOTAL CRIMES AGAINST WOMEN",10,"2001"
"Delhi UT","TOTAL CRIMES AGAINST WOMEN",2291,"2001"
"Lakshadweep","TOTAL CRIMES AGAINST WOMEN",0,"2001"
"Puducherry","TOTAL CRIMES AGAINST WOMEN",119,"2001"
"TOTAL Crime against Women","TOTAL CRIMES AGAINST WOMEN",143795,"2001"
"Andhra Pradesh","RAPE",1002,"2002"
"Arunachal Pradesh","RAPE",38,"2002"
"Assam","RAPE",970,"2002"
"Bihar","RAPE",1040,"2002"
"Chhattisgarh","RAPE",992,"2002"
"Goa","RAPE",12,"2002"
"Gujarat","RAPE",267,"2002"
"Haryana","RAPE",361,"2002"
"Himachal Pradesh","RAPE",137,"2002"
"Jammu & Kashmir","RAPE",192,"2002"
"Jharkhand","RAPE",797,"2002"
"Karnataka","RAPE",292,"2002"
"Kerala","RAPE",499,"2002"
"Madhya Pradesh","RAPE",2891,"2002"
"Maharashtra","RAPE",1352,"2002"
"Manipur","RAPE",14,"2002"
"Meghalaya","RAPE",38,"2002"
"Mizoram","RAPE",76,"2002"
"Nagaland","RAPE",17,"2002"
"Odisha","RAPE",691,"2002"
"Punjab","RAPE",299,"2002"
"Rajasthan","RAPE",1051,"2002"
"Sikkim","RAPE",6,"2002"
"Tamil Nadu","RAPE",534,"2002"
"Tripura","RAPE",108,"2002"
"Uttar Pradesh","RAPE",1415,"2002"
"Uttarakhand","RAPE",89,"2002"
"West Bengal","RAPE",759,"2002"
"A&N Islands","RAPE",2,"2002"
"Chandigarh","RAPE",18,"2002"
"D&N Haveli","RAPE",4,"2002"
"Daman & Diu","RAPE",0,"2002"
"Delhi UT","RAPE",403,"2002"
"Lakshadweep","RAPE",1,"2002"
"Puducherry","RAPE",6,"2002"
"All India","RAPE",16373,"2002"
"Andhra Pradesh","KIDNAPPING & ABDUCTION",854,"2002"
"Arunachal Pradesh","KIDNAPPING & ABDUCTION",38,"2002"
"Assam","KIDNAPPING & ABDUCTION",1276,"2002"
"Bihar","KIDNAPPING & ABDUCTION",744,"2002"
"Chhattisgarh","KIDNAPPING & ABDUCTION",154,"2002"
"Goa","KIDNAPPING & ABDUCTION",5,"2002"
"Gujarat","KIDNAPPING & ABDUCTION",807,"2002"
"Haryana","KIDNAPPING & ABDUCTION",290,"2002"
"Himachal Pradesh","KIDNAPPING & ABDUCTION",116,"2002"
"Jammu & Kashmir","KIDNAPPING & ABDUCTION",596,"2002"
"Jharkhand","KIDNAPPING & ABDUCTION",178,"2002"
"Karnataka","KIDNAPPING & ABDUCTION",300,"2002"
"Kerala","KIDNAPPING & ABDUCTION",91,"2002"
"Madhya Pradesh","KIDNAPPING & ABDUCTION",639,"2002"
"Maharashtra","KIDNAPPING & ABDUCTION",650,"2002"
"Manipur","KIDNAPPING & ABDUCTION",82,"2002"
"Meghalaya","KIDNAPPING & ABDUCTION",10,"2002"
"Mizoram","KIDNAPPING & ABDUCTION",2,"2002"
"Nagaland","KIDNAPPING & ABDUCTION",4,"2002"
"Odisha","KIDNAPPING & ABDUCTION",432,"2002"
"Punjab","KIDNAPPING & ABDUCTION",354,"2002"
"Rajasthan","KIDNAPPING & ABDUCTION",2019,"2002"
"Sikkim","KIDNAPPING & ABDUCTION",2,"2002"
"Tamil Nadu","KIDNAPPING & ABDUCTION",714,"2002"
"Tripura","KIDNAPPING & ABDUCTION",48,"2002"
"Uttar Pradesh","KIDNAPPING & ABDUCTION",2298,"2002"
"Uttarakhand","KIDNAPPING & ABDUCTION",155,"2002"
"West Bengal","KIDNAPPING & ABDUCTION",694,"2002"
"A&N Islands","KIDNAPPING & ABDUCTION",1,"2002"
"Chandigarh","KIDNAPPING & ABDUCTION",47,"2002"
"D&N Haveli","KIDNAPPING & ABDUCTION",5,"2002"
"Daman & Diu","KIDNAPPING & ABDUCTION",2,"2002"
"Delhi UT","KIDNAPPING & ABDUCTION",893,"2002"
"Lakshadweep","KIDNAPPING & ABDUCTION",0,"2002"
"Puducherry","KIDNAPPING & ABDUCTION",6,"2002"
"ALL INDIA K&A","KIDNAPPING & ABDUCTION",14506,"2002"
"Andhra Pradesh","DOWRY DEATH",449,"2002"
"Arunachal Pradesh","DOWRY DEATH",0,"2002"
"Assam","DOWRY DEATH",70,"2002"
"Bihar","DOWRY DEATH",927,"2002"
"Chhattisgarh","DOWRY DEATH",85,"2002"
"Goa","DOWRY DEATH",2,"2002"
"Gujarat","DOWRY DEATH",62,"2002"
"Haryana","DOWRY DEATH",256,"2002"
"Himachal Pradesh","DOWRY DEATH",6,"2002"
"Jammu & Kashmir","DOWRY DEATH",18,"2002"
